"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Dec 03 13:35:11 IST 2025","Wed Dec 03 13:35:11 IST 2025","1","Retail sector failed test cases Suite","Test","markets.Markets_PaidTransactionReportTest","markets.Markets_PaidTransactionReportTest","verifyTrailing12MonthText_TotalUnitTransactionsBox_TC6463","verifyTrailing12MonthText_TotalUnitTransactionsBox_TC6463",""
"passed","Wed Dec 03 11:20:26 IST 2025","Wed Dec 03 11:21:00 IST 2025","34031","Retail sector failed test cases Suite","Test","markets.RetailSectorTest","markets.RetailSectorTest","checkDownloadExcelButtonTenantTable_7426_7427Test","checkDownloadExcelButtonTenantTable_7426_7427Test",""
"passed","Wed Dec 03 11:38:37 IST 2025","Wed Dec 03 11:39:10 IST 2025","33449","Retail sector failed test cases Suite","Test","markets.RetailSectorTest","markets.RetailSectorTest","checkRangeValuesInDepartments_7463Test","checkRangeValuesInDepartments_7463Test",""
"passed","Wed Dec 03 11:46:25 IST 2025","Wed Dec 03 11:46:57 IST 2025","32385","Retail sector failed test cases Suite","Test","markets.RetailSectorTest","markets.RetailSectorTest","checkRentMallWiseTableColumn_5273Test","checkRentMallWiseTableColumn_5273Test",""
"skipped","Wed Dec 03 13:42:13 IST 2025","Wed Dec 03 13:42:13 IST 2025","0","Retail sector failed test cases Suite","Test","markets.Markets_PaidTransactionReportTest","markets.Markets_PaidTransactionReportTest","verifyPreviousBtnFxnality_UnitTransactionTable_TC7321","verifyPreviousBtnFxnality_UnitTransactionTable_TC7321",""
"passed","Wed Dec 03 11:03:17 IST 2025","Wed Dec 03 11:06:25 IST 2025","187835","Retail sector failed test cases Suite","Test","markets.ContactSaleTest","markets.ContactSaleTest","verifyContactSaleFxntiesPageMKT_I256","verifyContactSaleFxntiesPageMKT_I256",""
"skipped","Wed Dec 03 11:59:13 IST 2025","Wed Dec 03 11:59:13 IST 2025","1","Retail sector failed test cases Suite","Test","markets.RetailSectorTest","markets.RetailSectorTest","varifyTenantsTableCount_7423Test","varifyTenantsTableCount_7423Test",""
"broken","Wed Dec 03 14:10:30 IST 2025","Wed Dec 03 14:11:24 IST 2025","53862","Retail sector failed test cases Suite","Test","markets.IndustrialPropertiesSectorTest","markets.IndustrialPropertiesSectorTest","VerifyProjectNameInBlueColor_ProjectsTable__WarehouseRental_TC9270","VerifyProjectNameInBlueColor_ProjectsTable__WarehouseRental_TC9270",""
"skipped","Wed Dec 03 13:37:29 IST 2025","Wed Dec 03 13:37:29 IST 2025","0","Retail sector failed test cases Suite","Test","markets.Markets_PaidTransactionReportTest","markets.Markets_PaidTransactionReportTest","verifyNextPageLabelAppearsOnHover_PropertyTransactionsTable_TC6665","verifyNextPageLabelAppearsOnHover_PropertyTransactionsTable_TC6665",""
"broken","Wed Dec 03 13:21:13 IST 2025","Wed Dec 03 13:21:46 IST 2025","33529","Retail sector failed test cases Suite","Test","markets.ResidentialPropertiesTest","markets.ResidentialPropertiesTest","checkSetbackBoxArabic_8178Test","checkSetbackBoxArabic_8178Test",""
"passed","Wed Dec 03 11:23:35 IST 2025","Wed Dec 03 11:24:16 IST 2025","40591","Retail sector failed test cases Suite","Test","markets.RetailSectorTest","markets.RetailSectorTest","checkDownloadedTenantsTableExcelSheetColumns_7429Test","checkDownloadedTenantsTableExcelSheetColumns_7429Test",""
"broken","Wed Dec 03 12:50:14 IST 2025","Wed Dec 03 12:51:10 IST 2025","56424","Retail sector failed test cases Suite","Test","markets.Markets_MapTest","markets.Markets_MapTest","checkAppliedDistanceOnMap_6024Test","checkAppliedDistanceOnMap_6024Test",""
"passed","Wed Dec 03 13:05:28 IST 2025","Wed Dec 03 13:05:50 IST 2025","22316","Retail sector failed test cases Suite","Test","markets.ResidentialPropertiesTest","markets.ResidentialPropertiesTest","checkBottomBorderOverviewReportTab_3854Test","checkBottomBorderOverviewReportTab_3854Test",""
